Dataset-Quantity-metrics,ATrans,AE,CALF (few),CALF (full),CATCH,Chronos (few),Chronos (full),Chronos (zero),ConAD,DAGMM,DC,DLin,DUET,Dada (few),Dada (full),Dada (zero),DP,DualTF,EIF,GPT4TS (few),GPT4TS (full),IF,KMeans,LLMMixer(few),LLMMixer(full),LSTM,Modern,Moment (few),Moment (full),Moment (zero),NLin,Patch,Timer (few),Timer (full),Timer (zero),TimesFM (few),TimesFM (full),TimesFM (zero),TsNet,TTM (few),TTM (full),TTM (zero),Torsk,TranAD,UniTS (few),UniTS (full),UniTS (zero),UniTime (few),UniTime (full),VAE,CBLOF,HBOS,iTrans,KNN,LODA,LOF,OCSVM,PCA
contact-text,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bib,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Server/ASD-96-A-P,0.0521215636319857,0.2029691517450014,0.1431048190087298,0.1338445568426157,0.2295433366698859,0.1661230036274779,0.1661230036274779,0.1661230036274779,0.121684900520577,0.1691283104260647,0.0494517011845205,0.1698732969420024,0.1684446592571946,0.1296280915187175,0.1335316515100993,,0.2215038541749964,0.0948198456686471,0.2730941732443568,0.159132239970049,0.1664569974138912,0.1945320713902373,0.3802861519049732,0.1124041706760484,0.1802571259352252,0.2665350139523664,0.1583375669906443,0.1641834393227779,0.1392904776771543,0.1641543728922505,0.131783464861106,0.173946605862916,0.1333010995075215,0.1363089236436717,0.1183290055227186,0.1731250691280578,0.1146737541124898,0.164615953540213,0.2446170914974506,0.1495937929128903,0.1700501475604114,0.1411376962299655,0.1254866758650909,0.1492538591600637,0.1194828539227779,0.1399064458292459,0.1180079621065078,0.1245764681256109,0.1850836206746801,0.1466538211291362,0.3246260298904217,0.1333241542424581,0.1642948116049506,0.3926534748334546,0.1713835949123115,0.3596057522363765,0.1419893911857474,0.1439532254948437
Application Server/ASD-96-A-R,0.5063057437454235,0.7036614391351356,0.7365294632012557,0.7416772559753539,0.819089933468112,0.6448840145016635,0.6448840145016635,0.6448840145016635,0.689796343728806,0.6685210730870604,0.519931981472547,0.7392976293928811,0.7141973647643426,0.6113615234165585,0.6249657686090244,,0.6137152594999523,0.5789472403294011,0.6730560173375347,0.7343395280624949,0.7261348895757801,0.6183407530577464,0.8697203040592001,0.6050915507306592,0.7351667363780535,0.6715810477219711,0.6922809547578445,0.715213674651009,0.6898057250790419,0.7153693008663501,0.6901001356269892,0.7597341600802846,0.6219498279647003,0.6320623550062394,0.5905933613499786,0.7031113482425698,0.4957094589614759,0.6470526181057398,0.8046695721850301,0.6274265046992352,0.6647251469575916,0.61404704517789,0.6859511227593605,0.6345334531609185,0.6770964683747264,0.6755917688900391,0.6798122517058552,0.6166978963721291,0.7692244270994298,0.5967282473125143,0.7186763853692416,0.6034438809882068,0.7589919031277285,0.8121366769990824,0.6400134179095102,0.7913721140949046,0.5876638510369528,0.6556367325324391
