Dataset-Quantity-metrics,ATrans,ARIMA,AE,CALF (few),CALF (full),Chronos (few),Chronos (full),Chronos (zero),ConAD,DAGMM,DC,DLin,DWT,Dada (few),Dada (full),Dada (zero),DP,DualTF,EIF,GPT4TS (few),GPT4TS (full),IF,KMeans,LLMMixer (few),LLMMixer (full),LSTM,LSTi,Modern,Moment (few),Moment (full),Moment (zero),NLin,Patch,SAND,SARIMA,S2G,SR,Stat,Timer (few),Timer (full),Timer (zero),TimesFM (few),TimesFM (full),TimesFM (zero),TsNet,TTM (few),TTM (full),TTM (zero),Torsk,TranAD,UniTS (few),UniTS (full),UniTS (zero),UniTime (few),UniTime (full),VAE,ZMS,CBLOF,HBOS,iTrans,KNN,LODA,LOF,OCSVM,PCA
contact-text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contact-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIOps/GAIA-96-A-P,0.1266707624498707,0.7620923520923518,1.0,0.97620704175052,0.8145535714285714,1.0,1.0,1.0,0.0511808740095219,0.0991216762401951,0.0526103895884963,1.0,0.3890063353210003,0.959124712105744,0.9999999999999998,0.4231082271853699,0.8791055349878878,0.2007485845872815,1.0,0.9709904474610356,1.0,0.4786161593247048,0.6485459255522193,0.9705430494532952,0.8441273964131106,1.0,0.0447973119725826,0.6741452603303217,1.0,1.0,1.0,0.9999999999999998,1.0,0.0974128254492064,0.6658008658008644,0.2604333198863481,0.5,0.9536421106854346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0908271073308837,1.0,0.721052631578947,0.7898173113162613,0.7134808731387642,1.0,1.0,1.0,0.945009317069269,1.0,0.2555008210180619,0.8360180515195711,1.0,0.5074233912396489,1.0,1.0,0.3733766102111958
AIOps/GAIA-96-A-R,0.7454110635898027,0.9990391052513238,1.0,0.999963907654754,0.9998713429195084,1.0,1.0,1.0,0.6819409286871507,0.9794068865452183,0.6132029907638847,1.0,0.9945583843929888,0.9999020685487392,1.0,0.9948544405053144,0.999871382636656,0.8584935978138573,1.0,0.9999693171978246,1.0,0.9985570170700088,0.9968478204596368,0.9999362159806138,0.9998095449913044,1.0,0.9765125324114088,0.9996277371062474,1.0,1.0,1.0,1.0,1.0,0.9385217780770628,0.9991123910040538,0.9517937371048268,0.9985921271712392,0.9996274263473648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.947731327576384,1.0,0.9998713694010128,0.9998540569600064,0.9998713098056982,1.0,1.0,1.0,0.999859815816153,1.0,0.9972547105156868,0.9998768694722074,1.0,0.9978838657633844,1.0,1.0,0.9982762195692756
